"bidding_exercise","category","month","year","quota_premium","quota"
"2","Cat A: ≤1600cc or ≤97kW","Jun",2025,98124,1254
"2","Cat B: >1600cc or >97kW","Jun",2025,116670,784
"2","Cat C: Buses","Jun",2025,65000,271
"2","Cat D: Motorcycles","Jun",2025,8600,535
"1","Cat A: ≤1600cc or ≤97kW","Jun",2025,96999,1275
"1","Cat B: >1600cc or >97kW","Jun",2025,113000,795
"1","Cat C: Buses","Jun",2025,62000,276
"1","Cat D: Motorcycles","Jun",2025,9000,538
"2","Cat A: ≤1600cc or ≤97kW","May",2025,102501,1267
"2","Cat B: >1600cc or >97kW","May",2025,116988,782
"2","Cat C: Buses","May",2025,63189,271
"2","Cat D: Motorcycles","May",2025,8707,534
"1","Cat A: ≤1600cc or ≤97kW","May",2025,103009,1267
"1","Cat B: >1600cc or >97kW","May",2025,119890,813
"1","Cat C: Buses","May",2025,62590,271
"1","Cat D: Motorcycles","May",2025,8709,536
"2","Cat A: ≤1600cc or ≤97kW","Apr",2025,99500,1139
"2","Cat B: >1600cc or >97kW","Apr",2025,117003,744
"2","Cat C: Buses","Apr",2025,65001,260
"2","Cat D: Motorcycles","Apr",2025,9309,519
"1","Cat A: ≤1600cc or ≤97kW","Apr",2025,97724,1138
"1","Cat B: >1600cc or >97kW","Apr",2025,117899,760
"1","Cat C: Buses","Apr",2025,68782,267
"1","Cat D: Motorcycles","Apr",2025,9889,517
"2","Cat A: ≤1600cc or ≤97kW","Mar",2025,94502,1138
"2","Cat B: >1600cc or >97kW","Mar",2025,116890,747
"2","Cat C: Buses","Mar",2025,70089,277
"2","Cat D: Motorcycles","Mar",2025,9511,525
"1","Cat A: ≤1600cc or ≤97kW","Mar",2025,92730,1144
"1","Cat B: >1600cc or >97kW","Mar",2025,113000,765
"1","Cat C: Buses","Mar",2025,67001,262
"1","Cat D: Motorcycles","Mar",2025,9201,519
"2","Cat A: ≤1600cc or ≤97kW","Feb",2025,92850,1149
"2","Cat B: >1600cc or >97kW","Feb",2025,109598,744
"2","Cat C: Buses","Feb",2025,65189,259
"2","Cat D: Motorcycles","Feb",2025,8791,524
"1","Cat A: ≤1600cc or ≤97kW","Feb",2025,85000,1138
"1","Cat B: >1600cc or >97kW","Feb",2025,111104,748
"1","Cat C: Buses","Feb",2025,62506,260
"1","Cat D: Motorcycles","Feb",2025,8289,524
"2","Cat A: ≤1600cc or ≤97kW","Jan",2025,93601,1069
"2","Cat B: >1600cc or >97kW","Jan",2025,116625,686
"2","Cat C: Buses","Jan",2025,65476,234
"2","Cat D: Motorcycles","Jan",2025,7721,536
"1","Cat A: ≤1600cc or ≤97kW","Jan",2025,93699,1034
"1","Cat B: >1600cc or >97kW","Jan",2025,121501,677
"1","Cat C: Buses","Jan",2025,67891,248
"1","Cat D: Motorcycles","Jan",2025,9001,520
"2","Cat A: ≤1600cc or ≤97kW","Dec",2024,96000,1035
"2","Cat B: >1600cc or >97kW","Dec",2024,109000,676
"2","Cat C: Buses","Dec",2024,69890,255
"2","Cat D: Motorcycles","Dec",2024,8381,519
"1","Cat A: ≤1600cc or ≤97kW","Dec",2024,94000,1037
"1","Cat B: >1600cc or >97kW","Dec",2024,103010,689
"1","Cat C: Buses","Dec",2024,70289,262
"1","Cat D: Motorcycles","Dec",2024,7878,517
"2","Cat A: ≤1600cc or ≤97kW","Nov",2024,89889,1041
"2","Cat B: >1600cc or >97kW","Nov",2024,105081,678
"2","Cat C: Buses","Nov",2024,69000,235
"2","Cat D: Motorcycles","Nov",2024,8669,524
"1","Cat A: ≤1600cc or ≤97kW","Nov",2024,99889,1040
"1","Cat B: >1600cc or >97kW","Nov",2024,108001,696
"1","Cat C: Buses","Nov",2024,68340,236
"1","Cat D: Motorcycles","Nov",2024,9089,520
"2","Cat A: ≤1600cc or ≤97kW","Oct",2024,102900,1058
"2","Cat B: >1600cc or >97kW","Oct",2024,113890,670
"2","Cat C: Buses","Oct",2024,72939,222
"2","Cat D: Motorcycles","Oct",2024,9589,522
"1","Cat A: ≤1600cc or ≤97kW","Oct",2024,103799,994
"1","Cat B: >1600cc or >97kW","Oct",2024,116002,671
"1","Cat C: Buses","Oct",2024,75009,218
"1","Cat D: Motorcycles","Oct",2024,10001,520
"2","Cat A: ≤1600cc or ≤97kW","Sep",2024,98524,990
"2","Cat B: >1600cc or >97kW","Sep",2024,110001,663
"2","Cat C: Buses","Sep",2024,74000,217
"2","Cat D: Motorcycles","Sep",2024,9900,520
"1","Cat A: ≤1600cc or ≤97kW","Sep",2024,96490,983
"1","Cat B: >1600cc or >97kW","Sep",2024,106300,665
"1","Cat C: Buses","Sep",2024,74001,216
"1","Cat D: Motorcycles","Sep",2024,9801,522
"2","Cat A: ≤1600cc or ≤97kW","Aug",2024,93900,978
"2","Cat B: >1600cc or >97kW","Aug",2024,105889,686
"2","Cat C: Buses","Aug",2024,72400,216
"2","Cat D: Motorcycles","Aug",2024,9310,523
"1","Cat A: ≤1600cc or ≤97kW","Aug",2024,94289,1013
"1","Cat B: >1600cc or >97kW","Aug",2024,106101,663
"1","Cat C: Buses","Aug",2024,71100,218
"1","Cat D: Motorcycles","Aug",2024,9601,517
"2","Cat A: ≤1600cc or ≤97kW","Jul",2024,91899,973
"2","Cat B: >1600cc or >97kW","Jul",2024,1e+05,661
"2","Cat C: Buses","Jul",2024,70601,214
"2","Cat D: Motorcycles","Jul",2024,9089,518
"1","Cat A: ≤1600cc or ≤97kW","Jul",2024,91001,967
"1","Cat B: >1600cc or >97kW","Jul",2024,100901,671
"1","Cat C: Buses","Jul",2024,70001,214
"1","Cat D: Motorcycles","Jul",2024,8900,517
"2","Cat A: ≤1600cc or ≤97kW","Jun",2024,90889,966
"2","Cat B: >1600cc or >97kW","Jun",2024,102334,674
"2","Cat C: Buses","Jun",2024,69900,214
"2","Cat D: Motorcycles","Jun",2024,9002,520
"1","Cat A: ≤1600cc or ≤97kW","Jun",2024,88200,962
"1","Cat B: >1600cc or >97kW","Jun",2024,100607,685
"1","Cat C: Buses","Jun",2024,70589,230
"1","Cat D: Motorcycles","Jun",2024,8989,519
"2","Cat A: ≤1600cc or ≤97kW","May",2024,92700,983
"2","Cat B: >1600cc or >97kW","May",2024,105689,658
"2","Cat C: Buses","May",2024,72001,207
"2","Cat D: Motorcycles","May",2024,9311,526
"1","Cat A: ≤1600cc or ≤97kW","May",2024,93604,968
"1","Cat B: >1600cc or >97kW","May",2024,105002,666
"1","Cat C: Buses","May",2024,70001,206
"1","Cat D: Motorcycles","May",2024,9503,528
"2","Cat A: ≤1600cc or ≤97kW","Apr",2024,94010,936
"2","Cat B: >1600cc or >97kW","Apr",2024,102001,690
"2","Cat C: Buses","Apr",2024,68502,195
"2","Cat D: Motorcycles","Apr",2024,9990,522
"1","Cat A: ≤1600cc or ≤97kW","Apr",2024,89000,975
"1","Cat B: >1600cc or >97kW","Apr",2024,101334,653
"1","Cat C: Buses","Apr",2024,67501,197
"1","Cat D: Motorcycles","Apr",2024,10000,520
