"bidding_exercise","category","month_year","quota_premium","bid_to_quota"
"1","Cat A (Cars up to 1600cc and 97kW)","Apr 2002",37201,2.23783783783784
"1","Cat B (Cars above 1600cc or 97kW)","Apr 2002",39509,2.00537634408602
"1","Cat C (Goods vehicles and buses)","Apr 2002",23001,1.57114624505929
"1","Cat D (Motorcycles)","Apr 2002",540,1.57210965435042
"1","Cat E (Open)","Apr 2002",41001,2.63489736070381
"2","Cat A (Cars up to 1600cc and 97kW)","Apr 2002",36000,1.64490861618799
"2","Cat B (Cars above 1600cc or 97kW)","Apr 2002",42101,1.99638336347197
"2","Cat C (Goods vehicles and buses)","Apr 2002",24001,1.60671936758893
"2","Cat D (Motorcycles)","Apr 2002",409,1.29355608591885
"2","Cat E (Open)","Apr 2002",42043,1.86604774535809
"1","Cat A (Cars up to 1600cc and 97kW)","May 2002",35000,1.51152482269504
"1","Cat B (Cars above 1600cc or 97kW)","May 2002",40001,1.8625
"1","Cat C (Goods vehicles and buses)","May 2002",24801,1.77865612648221
"1","Cat D (Motorcycles)","May 2002",402,1.16746411483254
"1","Cat E (Open)","May 2002",40001,1.95833333333333
"2","Cat A (Cars up to 1600cc and 97kW)","May 2002",33401,1.18811881188119
"2","Cat B (Cars above 1600cc or 97kW)","May 2002",38001,1.6195652173913
"2","Cat C (Goods vehicles and buses)","May 2002",24002,1.56130268199234
"2","Cat D (Motorcycles)","May 2002",283,1.25330132052821
"2","Cat E (Open)","May 2002",38399,2.01648351648352
"1","Cat A (Cars up to 1600cc and 97kW)","Jun 2002",33009,1.24392439243924
"1","Cat B (Cars above 1600cc or 97kW)","Jun 2002",33001,1.48739495798319
"1","Cat C (Goods vehicles and buses)","Jun 2002",22804,1.48148148148148
"1","Cat D (Motorcycles)","Jun 2002",109,1.15428571428571
"1","Cat E (Open)","Jun 2002",34397,1.89243876464324
"2","Cat A (Cars up to 1600cc and 97kW)","Jun 2002",30281,1.21121822962314
"2","Cat B (Cars above 1600cc or 97kW)","Jun 2002",32499,1.57726465364121
"2","Cat C (Goods vehicles and buses)","Jun 2002",20434,1.40077071290944
"2","Cat D (Motorcycles)","Jun 2002",96,1.19304556354916
"2","Cat E (Open)","Jun 2002",32511,1.93736730360934
"1","Cat A (Cars up to 1600cc and 97kW)","Jul 2002",31407,1.69354838709677
"1","Cat B (Cars above 1600cc or 97kW)","Jul 2002",31583,1.63385146804836
"1","Cat C (Goods vehicles and buses)","Jul 2002",17501,1.4802371541502
"1","Cat D (Motorcycles)","Jul 2002",57,1.23067776456599
"1","Cat E (Open)","Jul 2002",32356,1.7021978021978
"2","Cat A (Cars up to 1600cc and 97kW)","Jul 2002",30797,1.47316636851521
"2","Cat B (Cars above 1600cc or 97kW)","Jul 2002",30008,1.51515151515152
"2","Cat C (Goods vehicles and buses)","Jul 2002",16889,1.35049504950495
"2","Cat D (Motorcycles)","Jul 2002",101,1.27130852340936
"2","Cat E (Open)","Jul 2002",30501,1.36483516483516
"1","Cat A (Cars up to 1600cc and 97kW)","Aug 2002",30289,1.46690518783542
"1","Cat B (Cars above 1600cc or 97kW)","Aug 2002",31889,2.07027027027027
"1","Cat C (Goods vehicles and buses)","Aug 2002",16501,1.41535433070866
"1","Cat D (Motorcycles)","Aug 2002",116,1.09785202863962
"1","Cat E (Open)","Aug 2002",31899,1.49563318777293
"2","Cat A (Cars up to 1600cc and 97kW)","Aug 2002",31289,1.33333333333333
"2","Cat B (Cars above 1600cc or 97kW)","Aug 2002",32001,1.55892857142857
"2","Cat C (Goods vehicles and buses)","Aug 2002",16409,1.37917485265226
"2","Cat D (Motorcycles)","Aug 2002",81,1.08896797153025
"2","Cat E (Open)","Aug 2002",32001,1.5164113785558
"1","Cat A (Cars up to 1600cc and 97kW)","Sept 2002",30501,1.20125786163522
"1","Cat B (Cars above 1600cc or 97kW)","Sept 2002",31617,1.29294755877034
"1","Cat C (Goods vehicles and buses)","Sept 2002",16403,1.3156862745098
"1","Cat D (Motorcycles)","Sept 2002",52,1.19424460431655
"1","Cat E (Open)","Sept 2002",31493,1.42656587473002
"2","Cat A (Cars up to 1600cc and 97kW)","Sept 2002",28409,1.14821428571429
"2","Cat B (Cars above 1600cc or 97kW)","Sept 2002",28009,1.3286467486819
"2","Cat C (Goods vehicles and buses)","Sept 2002",16409,1.21782178217822
"2","Cat D (Motorcycles)","Sept 2002",21,1.04057279236277
"2","Cat E (Open)","Sept 2002",29499,1.53632478632479
"1","Cat A (Cars up to 1600cc and 97kW)","Oct 2002",31334,1.69417040358744
"1","Cat B (Cars above 1600cc or 97kW)","Oct 2002",31795,1.65822784810127
"1","Cat C (Goods vehicles and buses)","Oct 2002",17581,1.34251968503937
"1","Cat D (Motorcycles)","Oct 2002",36,1.26460071513707
"1","Cat E (Open)","Oct 2002",30989,1.63685932388222
"2","Cat A (Cars up to 1600cc and 97kW)","Oct 2002",30758,1.46043165467626
"2","Cat B (Cars above 1600cc or 97kW)","Oct 2002",30811,1.53985507246377
"2","Cat C (Goods vehicles and buses)","Oct 2002",16819,1.24474187380497
