bidding_exercise,category,month,year,quota_premium,adjusted_premium
2,Cat A: ≤1600cc or ≤97kW,Jun,2025,98124,97461.26340882001
2,Cat B: >1600cc or >97kW,Jun,2025,116670,115882.00238379021
2,Cat C: Buses,Jun,2025,65000,64560.985299960266
2,Cat D: Motorcycles,Jun,2025,8600,8541.914978148588
1,Cat A: ≤1600cc or ≤97kW,Jun,2025,96999,96343.86174016686
1,Cat B: >1600cc or >97kW,Jun,2025,113000,112236.78982916169
1,Cat C: Buses,Jun,2025,62000,61581.247516885174
1,Cat D: Motorcycles,Jun,2025,9000,8939.213349225267
2,Cat A: ≤1600cc or ≤97kW,May,2025,102501,101730.89710888574
2,Cat B: >1600cc or >97kW,May,2025,116988,116109.05445775478
2,Cat C: Buses,May,2025,63189,62714.253104002695
2,Cat D: Motorcycles,May,2025,8707,8641.58321506198
1,Cat A: ≤1600cc or ≤97kW,May,2025,103009,102235.08044106116
1,Cat B: >1600cc or >97kW,May,2025,119890,118989.25136715066
1,Cat C: Buses,May,2025,62590,62119.75346626041
1,Cat D: Motorcycles,May,2025,8709,8643.568188810703
2,Cat A: ≤1600cc or ≤97kW,Apr,2025,99500,98714.23469185285
2,Cat B: >1600cc or >97kW,Apr,2025,117003,116079.01107186792
2,Cat C: Buses,Apr,2025,65001,64487.678082463586
2,Cat D: Motorcycles,Apr,2025,9309,9235.485535140282
1,Cat A: ≤1600cc or ≤97kW,Apr,2025,97724,96952.26001031787
1,Cat B: >1600cc or >97kW,Apr,2025,117899,116967.9352355252
1,Cat C: Buses,Apr,2025,68782,68238.819000754
1,Cat D: Motorcycles,Apr,2025,9889,9810.90519465058
2,Cat A: ≤1600cc or ≤97kW,Mar,2025,94502,94145.18973091981
2,Cat B: >1600cc or >97kW,Mar,2025,116890,116448.65958019107
2,Cat C: Buses,Mar,2025,70089,69824.36565417069
2,Cat D: Motorcycles,Mar,2025,9511,9475.08941113181
1,Cat A: ≤1600cc or ≤97kW,Mar,2025,92730,92379.88025383795
1,Cat B: >1600cc or >97kW,Mar,2025,113000,112573.34701481384
1,Cat C: Buses,Mar,2025,67001,66748.02498530569
